artistName,totalMinutesPlayed,totalPlays,uniqueTracksCount
Anuv Jain,2079.1026666666667,624,14
Cigarettes After Sex,1940.5114666666668,550,28
Stephen Sanchez,1112.6138,391,15
Ricky Montgomery,1014.2868000000001,291,5
Pritam,906.2980833333334,292,31
Satinder Sartaaj,866.0241833333333,172,4
Joe Hisaishi,790.9981333333334,239,12
yung kai,777.7461,248,7
Benson Boone,698.6766333333334,261,10
Atif Aslam,648.34645,132,10
Flower Face,600.9373166666667,158,1
Kishore Kumar,595.1149333333333,206,11
Wasia Project,594.7310666666666,228,8
SYML,567.2685666666666,192,5
Queen,563.6666333333334,111,5
Coldplay,560.8399166666667,156,8
Lord Huron,533.1405666666667,207,2
Eminem,523.31205,186,14
Alan Walker,498.34321666666665,222,61
Winter Aid,487.6687166666667,130,1
JVKE,481.53158333333334,230,15
Jeff Satur,460.0905666666667,139,7
Kendrick Lamar,454.9972666666667,132,7
mehro,454.6442,186,13
Billie Eilish,454.46415,167,20
d4vd,450.2608333333334,150,4
Taylor Swift,434.62335,141,24
Conan Gray,422.55916666666667,152,12
Prateek Kuhad,417.31045,158,6
RADWIMPS,388.18325,122,18
James Arthur,383.6454166666667,123,5
Adele,373.2186,142,11
Rex Orange County,370.7510666666667,154,4
A.R. Rahman,366.9771,50,6
Gigi Perez,364.46345,104,2
Sawano Hiroyuki,338.48786666666666,131,11
Erutan,335.2294333333333,113,6
alex_g_offline,309.77908333333335,72,4
Seema Mishra,297.4705333333333,54,7
Kodaline,289.26728333333335,98,3
The Weeknd,282.6829833333333,121,12
Vishal-Shekhar,277.1954166666667,68,11
Lana Del Rey,266.21521666666666,101,8
Radiohead,256.35833333333335,86,4
Genevieve Stokes,254.70383333333334,114,5
Diego Mitre,253.53793333333334,68,5
Ed Sheeran,250.04196666666667,79,15
Ludovico Einaudi,238.3169,78,1
Hunter Metts,234.89651666666666,84,5
Alex Sampson,234.34693333333334,86,3
Yuuri,233.25873333333334,72,8
New West,232.58666666666667,77,1
Don McLean,230.79068333333333,48,1
keshi,225.63948333333335,107,13
Ichiko Aoba,212.99733333333333,52,1
Bryant Barnes,212.6129,90,2
Green Day,209.73255,63,5
The Beatles,202.29341666666667,81,6
Elliot James Reay,201.65518333333333,63,1
Arham Fulfagar,200.24788333333333,110,2
Uru,197.30613333333332,58,1
Vance Joy,196.16206666666665,66,1
Explosions In The Sky,194.6715,43,1
Abe Parker,191.90903333333333,85,9
Lady Gaga,188.51635,48,2
Aditya Rikhari,182.23308333333335,105,4
Abhijeet,182.07136666666668,41,3
The Fray,181.40881666666667,54,3
Suzonn,179.12356666666668,88,3
One Direction,177.874,89,13
YOASOBI,176.0062,78,10
Deepak Rathore Project,173.9238,54,3
Lewis Capaldi,173.55645,55,14
gini,170.1095,90,4
Justin Bieber,168.97338333333335,56,15
Suki Waterhouse,165.55481666666668,71,1
Amit Trivedi,165.52068333333332,60,7
Max Allais,164.31545,83,2
Red Leather,163.17648333333332,57,7
Mithoon,162.39788333333334,30,3
Keenan Te,157.86758333333333,54,7
PUBLIC,155.32251666666667,52,2
Josh Brar,153.39995000000002,47,1
Ritt Momney,153.2834,48,1
beabadoobee,152.90148333333332,82,5
Sudhir Vyas,152.63553333333334,43,4
Tom Odell,152.12405,46,2
Charlie Puth,150.89438333333334,78,19
Samyak Prasana,150.43945,43,1
Passenger,149.79093333333333,45,2
Gracie Abrams,148.76888333333332,76,7
Dramatic Violin,147.69555,94,20
majiko,147.11158333333333,37,1
The Paper Kites,146.45711666666665,65,2
100 gecs,146.19921666666667,78,4
Dream Note,142.94203333333334,67,2
Imagine Dragons,142.21378333333334,43,11
Anthony Lazaro,141.41125,69,3
Masoom Sharma,136.10813333333334,60,3
Hanumankind,134.09196666666668,38,1
Sinta Bhai,131.52221666666668,39,1
The Midnight,131.49869999999999,21,1
Olivia Rodrigo,131.18325000000002,48,15
Joji,128.28203333333335,39,3
Elvis Presley,128.16361666666666,64,14
Mitski,127.05878333333332,77,1
Labit,125.64926666666666,54,1
Seafret,124.2837,47,1
MYTH & ROID,124.07685,43,4
Arijit Singh,123.66671666666667,43,10
Jatin-Lalit,122.43794999999999,31,2
Raj Mawer,122.08816666666667,37,3
Phoebe Bridgers,117.2813,41,3
Justin Timberlake,116.19458333333334,33,3
Matthew Ifield,116.12625,42,2
Lee Mujin,114.3112,43,4
Hayd,113.29906666666666,42,1
Marino,113.25881666666666,83,5
Akano,112.34136666666667,59,5
Hozier,112.18548333333334,41,5
Diler Kharkiya,111.89605,40,1
Laufey,111.80946666666667,47,2
Bharat Chauhan,109.856,28,1
The Local Train,109.25466666666667,32,3
Mustafa Zahid,108.58796666666667,24,3
Bruno Mars,108.33,40,6
FINNEAS,102.50245,41,3
Ali Sethi,101.92143333333333,32,2
Novo Amor,101.76211666666667,37,2
Hariharan,100.69305,15,1
ヨルシカ,100.03886666666666,29,3
Kristen Bell,99.36495,39,4
Stephen Dawes,98.76888333333333,33,1
Alexander 23,98.74291666666667,47,3
Udit Narayan,98.70948333333334,25,3
Michele Nobler,98.23123333333334,53,1
Talat Mahmood,97.13315,29,1
The Macarons Project,96.85675,70,3
Unknown Artist,96.53053333333334,39,1
The Neighbourhood,96.39268333333334,33,3
Jagjit Singh,95.3009,31,1
Ajay Gogavale,93.55481666666667,32,2
BØRNS,92.33728333333333,34,2
Sam Smith,91.95928333333333,31,7
Pixies,91.43436666666666,32,1
Strawberry Guy,91.36206666666666,43,1
Extreme,90.87928333333333,21,1
Eric Clapton,90.74271666666667,32,3
Vilen,90.44488333333332,30,4
Filmy,89.50091666666667,39,2
The Kid LAROI,87.42316666666666,41,6
Sia,87.13878333333334,38,12
Asha Bhosle,86.16293333333334,23,1
Steve Lacy,85.4436,25,1
Jereena Montemayor,85.2222,48,1
sumika,84.93958333333333,29,2
Sumit Parta,84.17976666666667,28,1
Noah Kahan,84.00941666666667,39,6
Maroon 5,83.03758333333333,28,12
The Walters,82.28661666666667,31,2
Beyond The Guitar,81.70141666666666,56,1
Edward Sharpe & The Magnetic Zeros,80.95738333333334,29,3
Mohammed Rafi,80.03126666666667,24,2
Bunny Johal,79.45901666666667,31,1
YUNG DSA,78.7984,21,1
Lauv,78.35671666666667,32,2
Idina Menzel,77.63165,25,3
Måneskin,76.8781,32,9
Tsunami J.,75.86421666666666,50,2
Yiruma,75.35735,35,1
Mikito P,75.18323333333333,19,3
Joy Again,74.8215,28,1
Why Don't We,74.81695,31,4
Doja Cat,74.66903333333333,34,5
Daniel Jang,74.58223333333333,51,7
The Backseat Lovers,74.42503333333333,28,1
Ruth B.,74.24549999999999,20,2
Avril Lavigne,73.77268333333333,21,3
RM,73.6823,21,1
NEFFEX,73.55956666666667,31,1
Awesome City Club,73.1788,22,2
Ludwig van Beethoven,72.75511666666667,43,10
Caleb Hearn,71.7108,26,2
Kansas,70.7574,22,2
Post Malone,70.59094999999999,37,7
Paradox,70.07741666666666,46,4
Kenshi Yonezu,68.98461666666667,31,2
Martin Garrix,68.84041666666667,22,7
Ashu Shukla,68.70385,27,1
Prabhakar Raj,67.76746666666668,31,1
Bruno Major,67.36025000000001,40,2
Cat Trumpet,67.13103333333333,30,5
Ghostly Kisses,66.88728333333333,22,2
Sanam,66.53455,24,4
Stray Kids,66.21736666666666,34,5
Calum Scott,66.19239999999999,18,5
juno roome,65.78021666666666,24,1
Kaka WRLD,65.71211666666667,24,2
Forest Blakk,65.58665,40,4
Roddy Ricch,65.10735,35,1
Miley Cyrus,65.04805,24,5
Mika Nakashima,64.90318333333333,20,1
Christina Perri,64.62101666666666,18,3
S. P. Balasubrahmanyam,64.37089999999999,16,1
Kami Kehoe,64.16731666666666,42,1
Asim Azhar,63.2778,28,1
Shinsei Kamattechan,62.73101666666666,16,1
French Montana,62.7276,21,1
Ashe,62.4278,30,2
美波,61.939550000000004,16,2
B Praak,61.52223333333333,23,6
HA SUNG WOON,61.29528333333334,21,2
IU,59.25621666666667,20,1
thien,59.25318333333333,26,1
ROSÉ,58.74668333333333,27,1
Kira,58.16476666666667,24,1
Cafuné,57.55495,29,2
Ai Higuchi,57.50491666666667,20,2
Surf Curse,57.4367,27,2
BLACKPINK,56.92378333333333,25,8
TK from Ling tosite sigure,56.34526666666667,15,2
Jeremy Zucker,55.60966666666667,24,3
James Quinn,55.5113,34,1
Niall Horan,55.49528333333333,17,1
Kalyanji-Anandji,55.41043333333333,19,1
Train,55.32261666666667,23,1
Austin Farwell,55.11136666666667,36,4
Jasleen Royal,55.043816666666665,29,1
Howard Shore,54.98401666666666,35,2
The Smiths,54.983399999999996,22,3
Raj Mawar,54.701899999999995,26,1
Clinton Kane,54.21743333333333,19,4
Jax,53.5721,25,2
Amaal Mallik,53.56753333333334,20,5
Isaac Dunbar,53.51326666666667,20,2
tomori,53.387183333333326,33,1
Eurielle,53.19148333333333,13,1
Dean Lewis,52.92646666666667,24,2
Lata Mangeshkar,52.610283333333335,33,7
DG IMMORTALS,52.0013,18,1
Maya Manuela,51.616150000000005,23,1
Mon Rovîa,51.47043333333333,19,1
Sushma Shrestha,51.32435,24,1
Jim Reeves,50.98676666666667,33,2
Juice WRLD,50.7869,22,1
Skrxlla,50.742583333333336,38,2
Travis Scott,50.408233333333335,30,2
Kavinsky,49.83663333333333,19,1
Sabrina Carpenter,49.519616666666664,19,5
Belle Sisoski,49.324466666666666,17,4
Linked Horizon,49.31828333333333,12,4
The Goo Goo Dolls,49.04275,18,1
Faheem Abdullah,49.0058,17,1
John Vincent III,48.66473333333333,14,1
Rokudenashi,48.46008333333334,21,1
SiM,48.24243333333334,24,3
Sasha Alex Sloan,48.227399999999996,21,2
Mark Ronson,48.0381,15,2
Swedish House Mafia,47.973166666666664,21,3
Lukas Graham,47.3638,14,1
Justh,47.359633333333335,23,1
Vandana Jangir,47.146283333333336,12,1
Louis Tomlinson,46.66195,20,1
Nico,46.4251,29,1
LØLØ,46.17325,19,1
Madison Beer,45.879266666666666,14,3
Creedence Clearwater Revival,45.534733333333335,20,1
OFFICIAL HIGE DANDISM,45.09128333333334,20,1
All Time Low,44.85218333333333,21,2
Jaymes Young,44.7165,13,1
Gibran Alcocer,44.715066666666665,26,4
AronChupa,44.70855,25,11
MD DesiRockstar,44.45738333333333,15,1
Himesh Patel,44.244483333333335,19,1
Rocco,43.947066666666665,17,2
Duncan Laurence,43.783833333333334,19,4
Kumar Sanu,43.4615,10,3
WesGhost,43.382333333333335,19,1
BTS,42.594633333333334,20,6
meganeko,42.268150000000006,7,1
DJ Blyatman,42.0516,23,6
Vashti Bunyan,40.66173333333334,25,1
Alec Benjamin,40.64293333333333,23,6
Rahat Fateh Ali Khan,40.2876,12,3
Dutch Melrose,39.78723333333333,23,3
Capital Cities,39.2489,22,1
Frank Sinatra,39.184349999999995,24,1
Hans Zimmer,38.68065,18,1
PornoGraffitti,38.42446666666667,18,1
John Denver,38.32541666666667,19,1
Wolfgang Amadeus Mozart,38.24301666666666,13,2
Osho Jain,38.20635,18,5
Dylan Gossett,38.00256666666667,19,1
ANGUISH,37.779066666666665,27,1
Creepy Nuts,37.72143333333333,19,2
THE DRIVER ERA,37.660133333333334,19,4
Brooks & Dunn,37.63676666666667,10,1
Ado,37.6037,11,1
Marshmello,37.53366666666667,12,6
BleVky,36.728966666666665,15,1
Jonathan Groff,36.64841666666667,18,2
Raga,36.46223333333333,14,1
"Earth, Wind & Fire",36.40675,16,1
Lily Williams,36.3087,25,1
Jimin,35.82926666666667,15,2
Before You Exit,35.66225,13,1
Inigo Pascual,35.416133333333335,19,1
Akhil,35.2378,14,2
Akuya,34.96511666666667,15,1
7evin7ins,34.84635,22,2
Vanessa Carlton,34.707766666666664,10,1
Katy Perry,34.6721,14,4
LiSA,34.34043333333334,14,4
ABBA,34.095016666666666,15,4
Lucky Ali,33.587583333333335,10,1
Tanishk Bagchi,33.33768333333333,16,3
μ's,33.037,8,2
Neru,32.88543333333333,16,2
SLANDER,32.6351,18,2
Djo,32.5072,18,1
Keane,32.4727,14,1
back number,32.31613333333333,7,3
Engelbert Humperdinck,32.022866666666665,12,2
Anubha Bajaj,32.00398333333333,16,1
Vishvajeet Choudhary,31.887733333333333,20,1
Ingrid Andress,31.824633333333335,10,4
George Michael,31.558183333333332,9,2
Dottie Evans,31.41003333333333,18,1
WILLOW,30.667366666666666,14,1
Jim Croce,30.57225,22,1
Yo Yo Honey Singh,30.218816666666665,14,9
Stavya Kaila,30.12215,8,1
Mazzy Star,30.100783333333332,9,1
AURORA,29.7851,15,3
Rahgir,29.644883333333336,17,1
Julia Michaels,29.545416666666668,11,2
The Chainsmokers,29.537633333333332,10,5
