trackName,artistName,totalMinutesPlayed,playCount
Jo Tum Mere Ho,Anuv Jain,672.6574499999999,176
Cry,Cigarettes After Sex,668.81835,186
Line Without a Hook,Ricky Montgomery,663.2715666666667,180
Angela,Flower Face,600.9373166666667,158
blue,yung kai,586.6747,179
Apocalypse,Cigarettes After Sex,562.1317166666666,135
The Night We Met,Lord Huron,532.47725,206
The Wisp Sings,Winter Aid,487.6687166666667,130
Sunsetz,Cigarettes After Sex,478.94870000000003,155
Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,471.54675000000003,105
Where's My Love - Acoustic,SYML,450.08605,147
Riha,Anuv Jain,448.7207333333333,72
Bohemian Rhapsody,Queen,423.48041666666666,82
Ikko - Mikke,Satinder Sartaaj,405.92193333333336,76
Tu Jaane Na,Atif Aslam,395.39070000000004,66
Here With Me,d4vd,381.19765,115
Not Like Us,Kendrick Lamar,380.5761166666667,95
Sailor Song,Gigi Perez,361.46345,103
Rutba,Satinder Sartaaj,349.15596666666664,55
A Thousand Years,James Arthur,314.1947333333333,92
Kun Faya Kun,A.R. Rahman,308.9696333333333,37
Pretend,alex_g_offline,296.1854666666667,65
My Heart Is Buried in Venice,Ricky Montgomery,278.0694666666667,83
THE SHADE,Rex Orange County,268.73990000000003,127
The Pool,Stephen Sanchez,263.43786666666665,75
Co2,Prateek Kuhad,249.90256666666667,113
I Want You,Stephen Sanchez,243.31623333333334,82
Experience,Ludovico Einaudi,238.3169,78
Those Eyes,New West,232.58666666666667,77
Petals on the Moon,Wasia Project,231.01953333333333,66
American Pie,Don McLean,230.79068333333333,48
Husn,Anuv Jain,217.76745,78
Weathervane,Hunter Metts,216.81336666666667,74
Mishri Ko Bagh Laga De,Seema Mishra,215.90353333333334,34
はるなつあきふゆ,Ichiko Aoba,212.99733333333333,52
I'd Rather Pretend (with d4vd),Bryant Barnes,210.79798333333335,89
Spend It With You,Kodaline,208.36901666666665,67
Pretty Slowly,Benson Boone,207.9636,51
Pretty Baby,Alex Sampson,203.93873333333335,73
Somebody Come Through,Wasia Project,202.11093333333332,74
I Think They Call This Love,Elliot James Reay,201.65518333333333,63
Be More,Stephen Sanchez,199.21115,56
紙一重,Uru,197.30613333333332,58
Riptide,Vance Joy,196.16206666666665,66
A Town with an Ocean View,Joe Hisaishi,194.99418333333332,72
Your Hand in Mine,Explosions In The Sky,194.6715,43
her,JVKE,192.43645,87
Hope this song finds you,Arham Fulfagar,191.00845,103
Bhar Do Jholi Meri,Pritam,184.93273333333335,30
Alag Aasmaan,Anuv Jain,182.3082,65
Die With A Smile,Lady Gaga,180.3576833333333,46
Sparks,Coldplay,172.34368333333333,56
Parda,Deepak Rathore Project,171.66916666666665,51
Good Looking,Suki Waterhouse,165.55481666666668,71
Stranger,Jeff Satur,164.6077,34
Tu Rehti Hai,Aditya Rikhari,163.08263333333335,94
cold/mess,Prateek Kuhad,161.61218333333332,40
Baarishein,Anuv Jain,160.54235,68
Main Koi Aisa Geet Gaoon,Abhijeet,159.9329,36
Yesterday,Max Allais,158.47315,80
Before You,Benson Boone,158.24868333333333,71
Tere Bina Na Guzara E,Josh Brar,153.39995000000002,47
Put Your Records On,Ritt Momney,153.2834,48
Aahatein,Samyak Prasana,150.43945,43
Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,147.22570000000002,44
Kokoronashi,majiko,147.11158333333333,37
No Surprises,Radiohead,146.83451666666667,53
Bloom (Online Bonus Track),The Paper Kites,146.45711666666665,64
Fix You,Coldplay,146.0336,35
ur so pretty,Wasia Project,145.48706666666666,83
Ye Chamak Ye Damak 2.0,Sudhir Vyas,145.39853333333332,32
"To the Infinity Castle - Muzan vs Hashira Theme (from ""Demon Slayer"") - Cover",Diego Mitre,144.31181666666666,32
Sparkle - movie ver.,RADWIMPS,143.23128333333332,24
Waqt Ki Baatein,Dream Note,142.38573333333332,66
Coffee Cup,Anthony Lazaro,140.66468333333333,66
Aa Chal Ke Tujhe,Kishore Kumar,137.3099,47
Wake Me up When September Ends,Green Day,136.83965,34
Bohemian Rhapsody - Remastered 2011,Queen,134.41171666666668,25
Big Dawgs,Hanumankind,134.09196666666668,38
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",Mithoon,132.2818,25
Pagal Banawe,Sinta Bhai,131.52221666666668,39
Los Angeles,The Midnight,131.49869999999999,21
Euphoria,keshi,131.02906666666667,48
Make You Mine - Acoustic,PUBLIC,129.48836666666668,45
Call of Silence,Sawano Hiroyuki,128.86686666666665,53
Mazaak,Anuv Jain,128.66255,60
My Love Mine All Mine,Mitski,127.05878333333332,77
ドライフラワー,Yuuri,125.83706666666667,35
Someday Faraway,Labit,125.64926666666666,54
wildflower,yung kai,125.27770000000001,47
Atlantis,Seafret,124.2837,47
STYX HELIX,MYTH & ROID,123.70904999999999,40
Chand Sifarish,Jatin-Lalit,121.51736666666666,28
Say Yes To Heaven,Lana Del Rey,119.10748333333333,48
Khwab Ho Tum Ya Koi Haqeeqat,Kishore Kumar,118.91321666666666,31
The Willow Maid,Erutan,117.06163333333333,29
chance with you,mehro,116.54145,43
Bulleya,Vishal-Shekhar,115.81111666666666,26
Missing You (with Ashe),Stephen Sanchez,115.19608333333333,28
Yellow,Coldplay,113.6013,32
I Think They Call This Love - Cover,Matthew Ifield,113.52891666666667,41
All of the Stars,Hayd,113.29906666666666,42
"Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam,112.77698333333333,26
Land Of The Heroes,Alan Walker,112.35258333333334,33
Blender,Masoom Sharma,112.15796666666667,44
Kabootri,Diler Kharkiya,111.89605,40
Udaarian,Satinder Sartaaj,110.23125,34
Ghar,Bharat Chauhan,109.856,28
Habits,Genevieve Stokes,108.71198333333334,49
Choo Lo,The Local Train,107.15388333333333,29
Houdini,Eminem,105.70148333333334,43
From The Start,Laufey,104.02943333333334,45
Kalank - Title Track,Pritam,102.4788,40
To Love Someone,Benson Boone,102.24653333333333,32
Chan Kithan,Ali Sethi,101.57003333333333,31
Antariksh,Anuv Jain,101.00808333333333,36
Shree Hanuman Chalisa,Hariharan,100.69305,15
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,100.02668333333334,33
CAN'T GET HIGH,Red Leather,99.99313333333333,27
clouds,JVKE,99.84358333333333,49
Teenage Dream,Stephen Dawes,98.76888333333333,33
Joking Together,Michele Nobler,98.23123333333334,53
Zaroorat,Mustafa Zahid,97.97653333333334,19
Tum Se Hi,Pritam,97.14466666666667,27
Itna Na Mujhse Tu Pyar Badha,Talat Mahmood,97.13315,29
Unknown Track,Unknown Artist,96.53053333333334,39
Ansuna,gini,96.51305,45
"Hothon Se Chhu Lo Tum - From ""Prem Geet""",Jagjit Singh,95.3009,31
Where Is My Mind?,Pixies,91.43436666666666,32
Without You,Strawberry Guy,91.36206666666666,43
More Than Words,Extreme,90.87928333333333,21
Break My Heart Again,FINNEAS,90.6619,36
Dhadak - Title Track,Ajay Gogavale,89.58175,30
perfume,mehro,87.30916666666667,35
Mishri,Anuv Jain,86.57925,34
Jaade,Filmy,86.21891666666667,36
Abhi Na Jao Chhod Kar,Asha Bhosle,86.16293333333334,23
One Summer Day,Joe Hisaishi,86.09311666666667,32
Coffee,beabadoobee,85.76498333333333,57
Bad Habit,Steve Lacy,85.4436,25
I Like U,Jereena Montemayor,85.2222,48
Chidiya,Vilen,84.98658333333333,27
Mirrors,Justin Timberlake,84.44363333333334,19
Chawal,Sumit Parta,84.17976666666667,28
Sun Lo Na (Raw),Suzonn,83.84195,44
The Real Slim Shady,Eminem,83.25994999999999,22
ファンファーレ,sumika,82.6221,28
Main Teri Nachai Nachu,Raj Mawer,82.42636666666667,17
Another Love,Tom Odell,82.15021666666667,26
Why Don't You Stay (WorldTour Ver.),Jeff Satur,81.71898333333334,27
"Romantic Flight - ""How To Train Your Dragon"" - Instrumental Guitar",Beyond The Guitar,81.70141666666666,56
"Sukuna vs Mahoraga (from ""Jujutsu Kaisen"") - Cover",Diego Mitre,81.0517,19
Love In The Dark,Adele,80.87701666666668,24
Heather,Conan Gray,80.44676666666668,35
champagne problems,Taylor Swift,80.44466666666666,24
The 30th,Billie Eilish,80.42311666666667,26
Too Sweet,Hozier,80.32463333333334,27
I Love You So,The Walters,80.00175,30
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,79.82448333333333,10
Rap God,Eminem,79.75696666666667,25
